"Path","Tracked","Area","Extension","Bytes","Lines","Disposition","Coverage"
".env.example","True",".env.example",".example","7616","107","first-party-text","inventoried"
".gitattributes","True",".gitattributes",".gitattributes","326","9","first-party-text","inventoried"
".github/workflows/ci.yml","True",".github",".yml","1770","51","first-party-text","inventoried"
".github/workflows/release.yml","True",".github",".yml","4024","116","first-party-text","inventoried"
".gitignore","True",".gitignore",".gitignore","802","26","first-party-text","inventoried"
".jules/bolt.md","True",".jules",".md","1257","6","first-party-text","inventoried"
"AGENTS.md","False","AGENTS.md",".md","6584","118","first-party-text","inventoried"
"ARCHITECTURE.md","True","ARCHITECTURE.md",".md","24882","389","first-party-text","inventoried"
"CLAUDE.md","True","CLAUDE.md",".md","6585","118","first-party-text","inventoried"
"Dockerfile","True","Dockerfile","","4540","87","first-party-text","inventoried"
"docs/AGENT_HANDOFF.md","True","docs",".md","2885","77","first-party-text","inventoried"
"docs/audits/2026-07-14-high-end-audit/PHASE_1_SCOPE.md","False","docs",".md","14821","280","audit-artifact","inventoried"
"docs/AUTH.md","True","docs",".md","6261","103","first-party-text","inventoried"
"docs/CALIBRATION.md","True","docs",".md","15822","264","first-party-text","inventoried"
"docs/canonical/OWNE_PORT_PLAN_2026-07-12.md","True","docs",".md","6107","88","first-party-text","inventoried"
"docs/canonical/STORYMACHINE_EXECUTION_PLAN.md","True","docs",".md","17429","181","first-party-text","inventoried"
"docs/canonical/STORYMACHINE_EXPERT_BLUEPRINT_2026-07-11.md","True","docs",".md","43334","324","first-party-text","inventoried"
"docs/canonical/STORYMACHINE_MASTER_SYNTHESIS.md","True","docs",".md","9308","121","first-party-text","inventoried"
"docs/canonical/STORYMACHINE_OASIS_MAESTRO_INTEGRATION_2026-07-11.md","True","docs",".md","17228","98","first-party-text","inventoried"
"docs/canonical/STORYMACHINE_RESEARCH_AND_MATH.md","True","docs",".md","11644","109","first-party-text","inventoried"
"docs/canonical/STORYMACHINE_SOURCE_LEDGER.md","True","docs",".md","8053","115","first-party-text","inventoried"
"docs/canonical/STORYMACHINE_TARGET_SYSTEM.md","True","docs",".md","7876","82","first-party-text","inventoried"
"docs/canonical/STORYMACHINE_TASK_INDEX_2026-07-12.md","True","docs",".md","9773","175","first-party-text","inventoried"
"docs/canonical/STORYMACHINE_ULTRAPLAN_2026-07-11.md","True","docs",".md","8795","87","first-party-text","inventoried"
"docs/DESIGN_BACKLOG.md","True","docs",".md","10655","264","first-party-text","inventoried"
"docs/owne/design-defaults-and-promise-templates.yaml.md","True","docs",".md","5995","193","first-party-text","inventoried"
"docs/owne/micro_mysteries_v1-and-tavern-fixture.md","True","docs",".md","53478","1721","first-party-text","inventoried"
"docs/owne/TRUTH_REGISTRY.md","True","docs",".md","12923","168","first-party-text","inventoried"
"docs/research-audit/2026-07-11B-needed/ai_story_emotional_analysis_research.md","True","docs",".md","12542","280","first-party-text","inventoried"
"docs/research-audit/2026-07-11B-needed/ai-slop-storytelling-research.md","True","docs",".md","7235","181","first-party-text","inventoried"
"docs/research-audit/2026-07-11B-needed/competitive_analysis_creative_narrative_AI.md","True","docs",".md","8614","215","first-party-text","inventoried"
"docs/research-audit/2026-07-11B-needed/creative-ai-collaboration-ux-workflow.md","True","docs",".md","9557","187","first-party-text","inventoried"
"docs/research-audit/2026-07-11B-needed/creative-ai-multiagent-evaluation-research.md","True","docs",".md","9659","239","first-party-text","inventoried"
"docs/research-audit/2026-07-11B-needed/emotion_as_structural_mechanic_research.md","True","docs",".md","20724","406","first-party-text","inventoried"
"docs/research-audit/2026-07-11B-needed/emotional_storytelling_techniques.md","True","docs",".md","15322","396","first-party-text","inventoried"
"docs/research-audit/2026-07-11B-needed/escp_protocol.py","True","docs",".py","15514","436","first-party-text","inventoried"
"docs/research-audit/2026-07-11B-needed/RNE_ISSUES_REPORT.md","True","docs",".md","7921","156","first-party-text","inventoried"
"docs/research-audit/2026-07-11B-needed/ts_sf_scorer.py","True","docs",".py","4602","128","first-party-text","inventoried"
"docs/research-audit/2026-07-11B-needed/uvm_state_tensor.py","True","docs",".py","14851","443","first-party-text","inventoried"
"docs/research-audit/2026-07-11B-needed/VERIFICATION_QUALITY_RESEARCH.md","True","docs",".md","8057","263","first-party-text","inventoried"
"docs/research-audit/COVERAGE_GAP_ANALYSIS_2026-07-11.md","True","docs",".md","3946","57","first-party-text","inventoried"
"docs/research-audit/INTEGRATION_MAP_2026-07-11B.md","True","docs",".md","7170","85","first-party-text","inventoried"
"docs/research-audit/LEARNINGS_DISTILLED_2026-07-10.md","True","docs",".md","5067","77","first-party-text","inventoried"
"docs/research-audit/MASTER_RESEARCH_AUDIT.md","True","docs",".md","7131","116","first-party-text","inventoried"
"docs/research-audit/PLAN_confidence_tier_determinism_2026-07-11.md","True","docs",".md","8160","140","first-party-text","inventoried"
"docs/research-audit/Pre-Flight_White_Paper.md","True","docs",".md","95949","2142","first-party-text","inventoried"
"docs/research-audit/RESEARCH_FORMULAS_ALGORITHMS_SCHEMAS_2026-07-11.md","True","docs",".md","26183","424","first-party-text","inventoried"
"docs/research-audit/RESEARCH_INTAKE_2026-07-11B_EMOTIONAL_RNE.md","True","docs",".md","4979","77","first-party-text","inventoried"
"docs/research-audit/RESEARCH_INTEGRATION_2026-07-11.md","True","docs",".md","11362","182","first-party-text","inventoried"
"docs/research-audit/SCRIPT_TRAINING_DATASET_2026-07-11.md","True","docs",".md","3893","60","first-party-text","inventoried"
"docs/rulebook/belief.md","True","docs",".md","58571","615","first-party-text","inventoried"
"docs/rulebook/causality.md","True","docs",".md","62443","623","first-party-text","inventoried"
"docs/rulebook/character-arc.md","True","docs",".md","64904","633","first-party-text","inventoried"
"docs/rulebook/conflict.md","True","docs",".md","64109","635","first-party-text","inventoried"
"docs/rulebook/dialogue.md","True","docs",".md","58864","601","first-party-text","inventoried"
"docs/rulebook/excellence.md","True","docs",".md","13887","48","first-party-text","inventoried"
"docs/rulebook/genre.md","True","docs",".md","10212","200","first-party-text","inventoried"
"docs/rulebook/intention.md","True","docs",".md","57813","608","first-party-text","inventoried"
"docs/rulebook/originality.md","True","docs",".md","59974","616","first-party-text","inventoried"
"docs/rulebook/pacing.md","True","docs",".md","55122","602","first-party-text","inventoried"
"docs/rulebook/payoff.md","True","docs",".md","57678","610","first-party-text","inventoried"
"docs/rulebook/README.md","True","docs",".md","4414","48","first-party-text","inventoried"
"docs/rulebook/relationship-arc.md","True","docs",".md","58237","606","first-party-text","inventoried"
"docs/rulebook/rhythm.md","True","docs",".md","56010","600","first-party-text","inventoried"
"docs/rulebook/root-causes.md","True","docs",".md","10296","68","first-party-text","inventoried"
"docs/rulebook/structure.md","True","docs",".md","60387","632","first-party-text","inventoried"
"docs/rulebook/theme.md","True","docs",".md","53642","584","first-party-text","inventoried"
"docs/rulebook/voice.md","True","docs",".md","54960","592","first-party-text","inventoried"
"docs/scoring/ARC_RECALIBRATION_WAVE_2026-07-11.md","True","docs",".md","3883","74","first-party-text","inventoried"
"docs/scoring/BASELINE_2026-07-11.md","True","docs",".md","3417","60","first-party-text","inventoried"
"docs/scoring/COMPOSITE_MINGAP_FINDING_2026-07-11.md","True","docs",".md","2812","56","first-party-text","inventoried"
"docs/scoring/DENSITY_RECAL_FINDING_2026-07-11.md","True","docs",".md","2726","48","first-party-text","inventoried"
"docs/scoring/EMOTIONAL_ARC_ANTISLOP_EXPERIMENT_2026-07-11.md","True","docs",".md","4410","73","first-party-text","inventoried"
"docs/scoring/HEALTH_REARCH_INCREMENT1_LANDED_2026-07-11.md","True","docs",".md","3573","68","first-party-text","inventoried"
"docs/scoring/IMPORT_COMPREHENSION_2026-07-11.md","True","docs",".md","3802","60","first-party-text","inventoried"
"docs/scoring/SATURATION_ROOT_CAUSE_2026-07-11.md","True","docs",".md","3181","58","first-party-text","inventoried"
"docs/scoring/SCORING_ENGINE_AUDIT.md","True","docs",".md","9133","76","first-party-text","inventoried"
"docs/scoring/VERBOSITY_BIAS_2026-07-11.md","True","docs",".md","3199","57","first-party-text","inventoried"
"docs/superpowers/specs/2026-07-14-whole-repository-audit-design.md","True","docs",".md","20789","442","first-party-text","inventoried"
"docs/user-validation/P0_EVIDENCE_SUMMARY.md","True","docs",".md","6905","132","first-party-text","inventoried"
"docs/user-validation/P0_OPERATING_KIT.md","True","docs",".md","17870","260","first-party-text","inventoried"
"docs/user-validation/P0_SESSION_TEMPLATE.md","True","docs",".md","15298","331","first-party-text","inventoried"
"docs/user-validation/P1_BASELINE_INVENTORY.md","True","docs",".md","17609","137","first-party-text","inventoried"
"docs/user-validation/PHASE_TRACKER.md","True","docs",".md","4833","85","first-party-text","inventoried"
"docs/user-validation/SESSION_LOG_2026-07-15.md","False","docs",".md","4479","76","first-party-text","inventoried"
"evals/scoring/contracts/human-label-import.test.ts","True","evals",".ts","22520","392","first-party-text","inventoried"
"evals/scoring/contracts/human-label-import.ts","True","evals",".ts","5500","170","first-party-text","inventoried"
"evals/scoring/contracts/scoring-eval-case.ts","True","evals",".ts","1902","43","first-party-text","inventoried"
"evals/scoring/human/HUMAN_LABELING_TASK.md","True","evals",".md","1847","37","first-party-text","inventoried"
"evals/scoring/metamorphic/base.fountain","True","evals",".fountain","1353","56","first-party-text","inventoried"
"evals/scoring/README.md","True","evals",".md","2187","39","first-party-text","inventoried"
"evals/scoring/rubric/tssf-rubric.test.ts","True","evals",".ts","9801","249","first-party-text","inventoried"
"evals/scoring/rubric/tssf-rubric.ts","True","evals",".ts","4817","106","first-party-text","inventoried"
"evals/scoring/runner/metamorphic-cases.ts","True","evals",".ts","3529","55","first-party-text","inventoried"
"evals/scoring/runner/metamorphic-exit.test.ts","True","evals",".ts","1410","43","first-party-text","inventoried"
"evals/scoring/runner/metamorphic-lib.ts","True","evals",".ts","2236","48","first-party-text","inventoried"
"evals/scoring/runner/run-metamorphic-classify.test.ts","True","evals",".ts","3113","88","first-party-text","inventoried"
"evals/scoring/runner/run-metamorphic.ts","True","evals",".ts","3778","76","first-party-text","inventoried"
"index.html","True","index.html",".html","318","13","first-party-text","inventoried"
"LICENSE","True","LICENSE","","1072","19","first-party-text","inventoried"
"metadata.json","True","metadata.json",".json","265","5","first-party-text","inventoried"
"NORTH_STAR.md","True","NORTH_STAR.md",".md","10039","161","first-party-text","inventoried"
"output/playwright/whole_site_qa.py","True","output",".py","11275","258","first-party-text","inventoried"
"package-lock.json","True","package-lock.json",".json","216326","5967","first-party-text","inventoried"
"package.json","True","package.json",".json","1947","63","first-party-text","inventoried"
"public/fonts/anton-400.woff2","True","public",".woff2","18612","","binary-asset","inventoried"
"public/fonts/courier-prime-400-italic.woff2","True","public",".woff2","21556","","binary-asset","inventoried"
"public/fonts/courier-prime-400.woff2","True","public",".woff2","18640","","binary-asset","inventoried"
"public/fonts/courier-prime-700.woff2","True","public",".woff2","19348","","binary-asset","inventoried"
"public/fonts/inter-400.woff2","True","public",".woff2","48256","","binary-asset","inventoried"
"public/fonts/inter-500.woff2","True","public",".woff2","48256","","binary-asset","inventoried"
"public/fonts/inter-600.woff2","True","public",".woff2","48256","","binary-asset","inventoried"
"public/fonts/jetbrains-mono-400.woff2","True","public",".woff2","31432","","binary-asset","inventoried"
"public/fonts/jetbrains-mono-700.woff2","True","public",".woff2","31432","","binary-asset","inventoried"
"public/redesign.html","True","public",".html","48334","459","first-party-text","inventoried"
"README.md","True","README.md",".md","9818","207","first-party-text","inventoried"
"RELIABILITY.md","False","RELIABILITY.md",".md","72066","2535","first-party-text","inventoried"
"ROADMAP.md","True","ROADMAP.md",".md","25623","311","first-party-text","inventoried"
"script-training/annotations/.gitignore","True","script-training",".gitignore","107","4","first-party-text","inventoried"
"script-training/README.md","True","script-training",".md","2018","34","first-party-text","inventoried"
"script-training/schemas/annotation.schema.json","True","script-training",".json","1621","39","first-party-text","inventoried"
"script-training/sources/source-register.csv","True","script-training",".csv","11808","56","first-party-text","inventoried"
"script-training/taxonomy/annotation-guide.md","True","script-training",".md","1332","16","first-party-text","inventoried"
"script-training/taxonomy/dialogue-tactics.yaml","True","script-training",".yaml","563","7","first-party-text","inventoried"
"script-training/taxonomy/genre-contracts.yaml","True","script-training",".yaml","1218","20","first-party-text","inventoried"
"script-training/taxonomy/mechanisms.yaml","True","script-training",".yaml","688","21","first-party-text","inventoried"
"script-training/taxonomy/scene-functions.yaml","True","script-training",".yaml","1090","27","first-party-text","inventoried"
"script-training/tools/extract_annotations.py","True","script-training",".py","5225","96","first-party-text","inventoried"
"scripts/backup-sessions.ts","True","scripts",".ts","1732","47","first-party-text","inventoried"
"scripts/generate-rulebook.ts","True","scripts",".ts","36370","834","first-party-text","inventoried"
"SECURITY.md","False","SECURITY.md",".md","26055","840","first-party-text","inventoried"
"server.ts","True","server.ts",".ts","7223","137","first-party-text","inventoried"
"server/app.ts","True","server",".ts","13937","245","first-party-text","inventoried"
"server/collab/yjs-server.ts","True","server",".ts","9674","252","first-party-text","inventoried"
"server/engine/Agent.ts","True","server",".ts","28438","569","first-party-text","inventoried"
"server/engine/agent/decision.ts","True","server",".ts","22825","437","first-party-text","inventoried"
"server/engine/agent/deterministic.ts","True","server",".ts","30278","592","first-party-text","inventoried"
"server/engine/agent/memory.ts","True","server",".ts","8620","197","first-party-text","inventoried"
"server/engine/agent/psychology.ts","True","server",".ts","36783","659","first-party-text","inventoried"
"server/engine/ai.ts","True","server",".ts","16075","360","first-party-text","inventoried"
"server/engine/AppraisalEngine.ts","True","server",".ts","12905","275","first-party-text","inventoried"
"server/engine/CausalSpine.ts","True","server",".ts","25697","583","first-party-text","inventoried"
"server/engine/character-memory.ts","True","server",".ts","5387","140","first-party-text","inventoried"
"server/engine/DirectorNode.ts","True","server",".ts","47282","965","first-party-text","inventoried"
"server/engine/Orchestrator.ts","True","server",".ts","59543","1191","first-party-text","inventoried"
"server/engine/Stage.ts","True","server",".ts","73095","1661","first-party-text","inventoried"
"server/engine/types.ts","True","server",".ts","24422","615","first-party-text","inventoried"
"server/lib/ai-config.ts","True","server",".ts","7304","191","first-party-text","inventoried"
"server/lib/ai-providers/openai-compat.ts","True","server",".ts","15584","375","first-party-text","inventoried"
"server/lib/ai-providers/schema.ts","True","server",".ts","1343","36","first-party-text","inventoried"
"server/lib/backup.ts","True","server",".ts","5914","168","first-party-text","inventoried"
"server/lib/breakdown.ts","True","server",".ts","34613","703","first-party-text","inventoried"
"server/lib/build-info.ts","True","server",".ts","2512","48","first-party-text","inventoried"
"server/lib/collab-auth.ts","True","server",".ts","3618","69","first-party-text","inventoried"
"server/lib/coverage-html.ts","True","server",".ts","24407","674","first-party-text","inventoried"
"server/lib/embeddings.ts","True","server",".ts","3568","81","first-party-text","inventoried"
"server/lib/fdx-import.ts","True","server",".ts","8823","206","first-party-text","inventoried"
"server/lib/fountain.ts","True","server",".ts","16080","385","first-party-text","inventoried"
"server/lib/genre-router.ts","True","server",".ts","138957","1872","first-party-text","inventoried"
"server/lib/interview.ts","True","server",".ts","13808","261","first-party-text","inventoried"
"server/lib/json.ts","True","server",".ts","501","14","first-party-text","inventoried"
"server/lib/logger.ts","True","server",".ts","1215","30","first-party-text","inventoried"
"server/lib/logline.ts","True","server",".ts","20313","429","first-party-text","inventoried"
"server/lib/memory.ts","True","server",".ts","6340","152","first-party-text","inventoried"
"server/lib/metrics.ts","True","server",".ts","5223","137","first-party-text","inventoried"
"server/lib/pdf-import.ts","True","server",".ts","30694","622","first-party-text","inventoried"
"server/lib/personality.ts","True","server",".ts","9992","176","first-party-text","inventoried"
"server/lib/pitchkit-html.ts","True","server",".ts","24613","590","first-party-text","inventoried"
"server/lib/prompt-utils.ts","True","server",".ts","1260","27","first-party-text","inventoried"
"server/lib/prompts.ts","True","server",".ts","3111","72","first-party-text","inventoried"
"server/lib/session-store.ts","True","server",".ts","14892","288","first-party-text","inventoried"
"server/lib/slate.ts","True","server",".ts","9753","265","first-party-text","inventoried"
"server/lib/structure-presets.ts","True","server",".ts","89663","1486","first-party-text","inventoried"
"server/lib/subtext-meter.ts","True","server",".ts","3423","71","first-party-text","inventoried"
"server/lib/validation.ts","True","server",".ts","48551","1023","first-party-text","inventoried"
"server/nvm/__tests__/m1.5-harness.ts","True","server",".ts","3120","84","first-party-text","inventoried"
"server/nvm/analyze/anti-slop.ts","True","server",".ts","5871","155","first-party-text","inventoried"
"server/nvm/analyze/assertion-containment.test.ts","True","server",".ts","7753","166","first-party-text","inventoried"
"server/nvm/analyze/assertion-containment.ts","True","server",".ts","9650","226","first-party-text","inventoried"
"server/nvm/analyze/belief-movement.test.ts","True","server",".ts","5037","105","first-party-text","inventoried"
"server/nvm/analyze/belief-movement.ts","True","server",".ts","5946","155","first-party-text","inventoried"
"server/nvm/analyze/bonding-signal.test.ts","True","server",".ts","4193","98","first-party-text","inventoried"
"server/nvm/analyze/bonding-signal.ts","True","server",".ts","6157","163","first-party-text","inventoried"
"server/nvm/analyze/calibration/corpus.ts","True","server",".ts","55075","1893","first-party-text","inventoried"
"server/nvm/analyze/calibration/discrimination-pairs.ts","True","server",".ts","46220","1280","first-party-text","inventoried"
"server/nvm/analyze/calibration/percentile.ts","True","server",".ts","4563","91","first-party-text","inventoried"
"server/nvm/analyze/calibration/reference.ts","True","server",".ts","20021","334","first-party-text","inventoried"
"server/nvm/analyze/causality-enforcer.test.ts","True","server",".ts","6093","166","first-party-text","inventoried"
"server/nvm/analyze/causality-enforcer.ts","True","server",".ts","5492","140","first-party-text","inventoried"
"server/nvm/analyze/cluster.ts","True","server",".ts","54653","974","first-party-text","inventoried"
"server/nvm/analyze/cold-open-promise.test.ts","True","server",".ts","5201","148","first-party-text","inventoried"
"server/nvm/analyze/cold-open-promise.ts","True","server",".ts","7359","161","first-party-text","inventoried"
"server/nvm/analyze/custody-ledger.ts","True","server",".ts","4595","124","first-party-text","inventoried"
"server/nvm/analyze/data/emotional-arc-lexicon.json","True","server",".json","271561","1","first-party-text","inventoried"
"server/nvm/analyze/deep-read.ts","True","server",".ts","25472","466","first-party-text","inventoried"
"server/nvm/analyze/dialogue-info-ratio.ts","True","server",".ts","6739","198","first-party-text","inventoried"
"server/nvm/analyze/disclosure-ledger.test.ts","True","server",".ts","10072","229","first-party-text","inventoried"
"server/nvm/analyze/disclosure-ledger.ts","True","server",".ts","6917","156","first-party-text","inventoried"
"server/nvm/analyze/doctor.ts","True","server",".ts","115191","2040","first-party-text","inventoried"
"server/nvm/analyze/emotional-arc.ts","True","server",".ts","6027","114","first-party-text","inventoried"
"server/nvm/analyze/epistemic-ledger.ts","True","server",".ts","3228","67","first-party-text","inventoried"
"server/nvm/analyze/excellence-signals.ts","True","server",".ts","9783","295","first-party-text","inventoried"
"server/nvm/analyze/fix.ts","True","server",".ts","19703","378","first-party-text","inventoried"
"server/nvm/analyze/fountain-analyzer.ts","True","server",".ts","111765","1980","first-party-text","inventoried"
"server/nvm/analyze/genre-obligation.test.ts","True","server",".ts","6403","154","first-party-text","inventoried"
"server/nvm/analyze/genre-obligation.ts","True","server",".ts","7545","139","first-party-text","inventoried"
"server/nvm/analyze/inflection-tension.ts","True","server",".ts","3375","100","first-party-text","inventoried"
"server/nvm/analyze/integrity-rate.test.ts","True","server",".ts","5549","140","first-party-text","inventoried"
"server/nvm/analyze/integrity-rate.ts","True","server",".ts","12078","274","first-party-text","inventoried"
"server/nvm/analyze/interiority.ts","True","server",".ts","6489","193","first-party-text","inventoried"
"server/nvm/analyze/locate.ts","True","server",".ts","10194","199","first-party-text","inventoried"
"server/nvm/analyze/metrics.ts","True","server",".ts","50823","969","first-party-text","inventoried"
"server/nvm/analyze/mirror-scene.test.ts","True","server",".ts","6551","190","first-party-text","inventoried"
"server/nvm/analyze/mirror-scene.ts","True","server",".ts","5713","154","first-party-text","inventoried"
"server/nvm/analyze/mystery-fairness.test.ts","True","server",".ts","5103","126","first-party-text","inventoried"
"server/nvm/analyze/mystery-fairness.ts","True","server",".ts","6030","144","first-party-text","inventoried"
"server/nvm/analyze/NarrativeState.test.ts","True","server",".ts","7319","237","first-party-text","inventoried"
"server/nvm/analyze/NarrativeState.ts","True","server",".ts","7105","230","first-party-text","inventoried"
"server/nvm/analyze/pattern-establishment.test.ts","True","server",".ts","5514","138","first-party-text","inventoried"
"server/nvm/analyze/pattern-establishment.ts","True","server",".ts","9234","217","first-party-text","inventoried"
"server/nvm/analyze/scene-economy.test.ts","True","server",".ts","7776","171","first-party-text","inventoried"
"server/nvm/analyze/scene-economy.ts","True","server",".ts","7260","182","first-party-text","inventoried"
"server/nvm/analyze/scene-value-shift.test.ts","True","server",".ts","5350","148","first-party-text","inventoried"
"server/nvm/analyze/scene-value-shift.ts","True","server",".ts","7902","196","first-party-text","inventoried"
"server/nvm/analyze/screenplay-normalizer.test.ts","True","server",".ts","3988","80","first-party-text","inventoried"
"server/nvm/analyze/screenplay-normalizer.ts","True","server",".ts","7059","147","first-party-text","inventoried"
"server/nvm/analyze/silence-signal.test.ts","True","server",".ts","6591","157","first-party-text","inventoried"
"server/nvm/analyze/silence-signal.ts","True","server",".ts","6521","173","first-party-text","inventoried"
"server/nvm/analyze/story-spine.test.ts","True","server",".ts","4482","102","first-party-text","inventoried"
"server/nvm/analyze/story-spine.ts","True","server",".ts","6608","175","first-party-text","inventoried"
"server/nvm/analyze/temporal.ts","True","server",".ts","5036","151","first-party-text","inventoried"
"server/nvm/analyze/theme-extract.ts","True","server",".ts","6358","173","first-party-text","inventoried"
"server/nvm/analyze/truth-ledger.test.ts","True","server",".ts","10828","266","first-party-text","inventoried"
"server/nvm/analyze/truth-ledger.ts","True","server",".ts","10148","279","first-party-text","inventoried"
"server/nvm/analyze/typed-promises.test.ts","True","server",".ts","4960","105","first-party-text","inventoried"
"server/nvm/analyze/typed-promises.ts","True","server",".ts","7618","190","first-party-text","inventoried"
"server/nvm/analyze/types.ts","True","server",".ts","19043","357","first-party-text","inventoried"
"server/nvm/analyze/voice-delta.ts","True","server",".ts","6175","182","first-party-text","inventoried"
"server/nvm/analyze/well-made-surprise.test.ts","True","server",".ts","4951","117","first-party-text","inventoried"
"server/nvm/analyze/well-made-surprise.ts","True","server",".ts","5231","141","first-party-text","inventoried"
"server/nvm/author/backchain.ts","True","server",".ts","9080","230","first-party-text","inventoried"
"server/nvm/author/fixed-points.ts","True","server",".ts","13005","314","first-party-text","inventoried"
"server/nvm/bible/index.ts","True","server",".ts","7370","165","first-party-text","inventoried"
"server/nvm/branch/field.ts","True","server",".ts","8562","208","first-party-text","inventoried"
"server/nvm/branch/score.ts","True","server",".ts","12133","261","first-party-text","inventoried"
"server/nvm/bridge/action-to-ops.ts","True","server",".ts","27216","618","first-party-text","inventoried"
"server/nvm/converge/loop.ts","True","server",".ts","24164","516","first-party-text","inventoried"
"server/nvm/converge/operators.ts","True","server",".ts","20302","395","first-party-text","inventoried"
"server/nvm/debug/inspector.ts","True","server",".ts","3132","92","first-party-text","inventoried"
"server/nvm/drama/conflict-orchestrator.ts","True","server",".ts","9883","249","first-party-text","inventoried"
"server/nvm/drama/intention-registry.ts","True","server",".ts","4365","105","first-party-text","inventoried"
"server/nvm/generate/llm-generator.ts","True","server",".ts","14980","287","first-party-text","inventoried"
"server/nvm/generate/proof-spec.ts","True","server",".ts","16129","330","first-party-text","inventoried"
"server/nvm/generate/quality-spec.ts","True","server",".ts","12307","179","first-party-text","inventoried"
"server/nvm/ir/NarrativeTransitionIR.ts","True","server",".ts","1728","37","first-party-text","inventoried"
"server/nvm/live/loop.ts","True","server",".ts","4913","127","first-party-text","inventoried"
"server/nvm/live/move-bus.ts","True","server",".ts","12967","354","first-party-text","inventoried"
"server/nvm/mechanisms/clue_cascade.mech.json","True","server",".json","1434","21","first-party-text","inventoried"
"server/nvm/mechanisms/false_purpose.mech.json","True","server",".json","1504","22","first-party-text","inventoried"
"server/nvm/mechanisms/identity_performance.mech.json","True","server",".json","1430","21","first-party-text","inventoried"
"server/nvm/mechanisms/legitimacy_split.mech.json","True","server",".json","1089","17","first-party-text","inventoried"
"server/nvm/mechanisms/loader.ts","True","server",".ts","2632","69","first-party-text","inventoried"
"server/nvm/mechanisms/object_burden.mech.json","True","server",".json","1232","19","first-party-text","inventoried"
"server/nvm/mechanisms/relationship_externalization.mech.json","True","server",".json","1135","17","first-party-text","inventoried"
"server/nvm/module/NarrativeModule.ts","True","server",".ts","1493","40","first-party-text","inventoried"
"server/nvm/ops/belief-revision.ts","True","server",".ts","7414","172","first-party-text","inventoried"
"server/nvm/ops/dispatcher.ts","True","server",".ts","4823","125","first-party-text","inventoried"
"server/nvm/ops/meta-belief.ts","True","server",".ts","4426","127","first-party-text","inventoried"
"server/nvm/ops/StoryOp.ts","True","server",".ts","4520","87","first-party-text","inventoried"
"server/nvm/ops/tactic-types.ts","True","server",".ts","3080","72","first-party-text","inventoried"
"server/nvm/project/index.ts","True","server",".ts","53881","1043","first-party-text","inventoried"
"server/nvm/project/sidecar.ts","True","server",".ts","8224","211","first-party-text","inventoried"
"server/nvm/proof/acquittal.test.ts","True","server",".ts","7177","152","first-party-text","inventoried"
"server/nvm/proof/acquittal.ts","True","server",".ts","7175","165","first-party-text","inventoried"
"server/nvm/proof/contract.ts","True","server",".ts","2850","65","first-party-text","inventoried"
"server/nvm/proof/kernel.ts","True","server",".ts","4203","95","first-party-text","inventoried"
"server/nvm/proof/lint.ts","True","server",".ts","8010","176","first-party-text","inventoried"
